0,1,2,3,4,5,6,7,8,9,10
rolls/buns,rolls/buns,specialty bar,,,,,,,,
root vegetables,UHT-milk,nuts/prunes,frankfurter,misc. beverages,whole milk,cream cheese ,canned fish,,,
pip fruit,curd,coffee,rolls/buns,,,,,,,
whole milk,frozen potato products,fruit/vegetable juice,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
condensed milk,onions,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
zwieback,butter,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pork,ice cream,yogurt,,,,,,,,
root vegetables,soda,,,,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
hygiene articles,bottled water,,,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
pastry,yogurt,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
beverages,sugar,,,,,,,,,
sausage,canned beer,,,,,,,,,
pork,other vegetables,,,,,,,,,
hard cheese,coffee,,,,,,,,,
sausage,chewing gum,,,,,,,,,
bottled beer,ice cream,salty snack,,,,,,,,
whole milk,waffles,,,,,,,,,
female sanitary products,soda,,,,,,,,,
butter,root vegetables,,,,,,,,,
napkins,popcorn,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
candy,roll products ,frozen vegetables,,,,,,,,
frankfurter,canned beer,soda,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
pork,whole milk,popcorn,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
yogurt,soda,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
long life bakery product,root vegetables,,,,,,,,,
soda,yogurt,bottled water,pot plants,,,,,,,
cat food,other vegetables,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
cooking chocolate,shopping bags,,,,,,,,,
fish,meat,,,,,,,,,
pastry,bottled water,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
meat,condensed milk,,,,,,,,,
tropical fruit,beef,curd,rolls/buns,whipped/sour cream,whole milk,candles,cake bar,flour,,
whole milk,shopping bags,,,,,,,,,
pip fruit,cookware,rolls/buns,whole milk,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
rolls/buns,sugar,butter,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
specialty bar,newspapers,,,,,,,,,
ham,yogurt,,,,,,,,,
rolls/buns,white wine,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
brown bread,tropical fruit,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
citrus fruit,margarine,white wine,,,,,,,,
whole milk,pastry,,,,,,,,,
curd,yogurt,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
shopping bags,butter,,,,,,,,,
sausage,whole milk,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
specialty cheese,napkins,,,,,,,,,
brown bread,whole milk,,,,,,,,,
soft cheese,berries,,,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
hamburger meat,candles,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
other vegetables,soap,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
cat food,pet care,oil,,,,,,,,
sausage,onions,mustard,,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
bottled water,bottled water,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
yogurt,sugar,,,,,,,,,
specialty bar,soda,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
candy,whole milk,,,,,,,,,
tea,light bulbs,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
frankfurter,frankfurter,ham,beef,baby cosmetics,other vegetables,domestic eggs,artif. sweetener,margarine,,
meat,onions,whole milk,whole milk,,,,,,,
canned beer,red/blush wine,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
chicken,whole milk,curd,frozen meals,beverages,,,,,,
soda,shopping bags,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
roll products ,root vegetables,mayonnaise,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
tropical fruit,domestic eggs,vinegar,whipped/sour cream,,,,,,,
semi-finished bread,berries,,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
rolls/buns,coffee,,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
domestic eggs,shopping bags,,,,,,,,,
frankfurter,whole milk,hamburger meat,white bread,,,,,,,
softener,soda,,,,,,,,,
pip fruit,grapes,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
hard cheese,pastry,,,,,,,,,
chocolate,white bread,,,,,,,,,
rolls/buns,berries,meat spreads,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
rolls/buns,oil,beverages,bottled water,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
spread cheese,whole milk,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
citrus fruit,pork,,,,,,,,,
organic sausage,semi-finished bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,chewing gum,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
sausage,hamburger meat,,,,,,,,,
cat food,yogurt,candy,,,,,,,,
dishes,yogurt,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
soda,root vegetables,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
sauces,ice cream,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
bottled water,bottled water,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,salt,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
brown bread,honey,pet care,,,,,,,,
bottled water,whole milk,,,,,,,,,
soda,flour,brown bread,,,,,,,,
curd,canned beer,,,,,,,,,
beef,other vegetables,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
yogurt,yogurt,,,,,,,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
semi-finished bread,white bread,,,,,,,,,
pastry,grapes,,,,,,,,,
soda,domestic eggs,,,,,,,,,
newspapers,salty snack,,,,,,,,,
chicken,soda,canned fish,,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
other vegetables,curd,,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
spread cheese,cooking chocolate,,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
waffles,yogurt,,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
photo/film,fruit/vegetable juice,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
chicken,specialty chocolate,,,,,,,,,
sausage,shopping bags,,,,,,,,,
sausage,other vegetables,,,,,,,,,
bottled beer,soda,hygiene articles,chicken,whole milk,whole milk,canned beer,curd,soda,,
softener,margarine,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
white bread,UHT-milk,,,,,,,,,
pork,soda,brandy,sausage,rolls/buns,whole milk,yogurt,frozen dessert,shopping bags,,
frankfurter,butter,red/blush wine,,,,,,,,
meat,whole milk,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
hamburger meat,whole milk,,,,,,,,,
root vegetables,yogurt,pickled vegetables,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
sausage,bottled water,mustard,bottled beer,,,,,,,
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
sausage,root vegetables,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
hamburger meat,curd,,,,,,,,,
root vegetables,napkins,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sausage,shopping bags,,,,,,,,,
rolls/buns,curd cheese,Instant food products,,,,,,,,
cereals,bottled water,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
butter,long life bakery product,,,,,,,,,
hygiene articles,potato products,,,,,,,,,
beverages,whole milk,pasta,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
pork,frozen vegetables,,,,,,,,,
candy,white wine,,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
frankfurter,chicken,rolls/buns,frankfurter,other vegetables,coffee,long life bakery product,domestic eggs,,,
packaged fruit/vegetables,frozen vegetables,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
hard cheese,sugar,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
curd,newspapers,,,,,,,,,
ham,yogurt,,,,,,,,,
berries,nut snack,sliced cheese,,,,,,,,
organic sausage,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,whipped/sour cream,hygiene articles,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
margarine,bottled water,,,,,,,,,
whole milk,soda,shopping bags,,,,,,,,
tropical fruit,butter,,,,,,,,,
bottled water,butter,,,,,,,,,
white bread,whole milk,white bread,whole milk,newspapers,rolls/buns,canned beer,whole milk,,,
pork,specialty chocolate,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
pastry,whole milk,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
meat,bottled water,soda,,,,,,,,
soda,bottled water,whipped/sour cream,,,,,,,,
hamburger meat,candy,,,,,,,,,
whole milk,pastry,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
shopping bags,newspapers,,,,,,,,,
yogurt,whole milk,,,,,,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
misc. beverages,instant coffee,,,,,,,,,
beef,soda,,,,,,,,,
other vegetables,zwieback,oil,,,,,,,,
canned beer,beef,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
chewing gum,ice cream,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
sparkling wine,whole milk,dessert,salt,,,,,,,
specialty bar,curd,,,,,,,,,
canned beer,ham,,,,,,,,,
yogurt,berries,,,,,,,,,
soda,whole milk,whole milk,sugar,,,,,,,
margarine,chocolate,,,,,,,,,
butter,margarine,,,,,,,,,
white bread,bottled water,,,,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
sausage,oil,whole milk,,,,,,,,
hamburger meat,other vegetables,frozen dessert,oil,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
whole milk,beef,,,,,,,,,
whole milk,chocolate,,,,,,,,,
canned beer,yogurt,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
dessert,napkins,long life bakery product,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
coffee,fruit/vegetable juice,,,,,,,,,
dessert,napkins,,,,,,,,,
soda,soda,roll products ,,,,,,,,
whole milk,white bread,,,,,,,,,
waffles,whole milk,shopping bags,flour,shopping bags,,,,,,
domestic eggs,newspapers,,,,,,,,,
frankfurter,margarine,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
sausage,beverages,,,,,,,,,
ham,pork,pork,soda,,,,,,,
butter,flour,fruit/vegetable juice,fruit/vegetable juice,,,,,,,
chicken,whole milk,canned beer,,,,,,,,
rolls/buns,waffles,,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
fruit/vegetable juice,hard cheese,,,,,,,,,
brown bread,salt,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
misc. beverages,liquor,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
whole milk,waffles,,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
whole milk,hamburger meat,detergent,pickled vegetables,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
ham,rolls/buns,canned fish,shopping bags,,,,,,,
white bread,brown bread,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
photo/film,bottled water,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
coffee,bottled beer,,,,,,,,,
pip fruit,misc. beverages,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
UHT-milk,shopping bags,,,,,,,,,
sausage,frozen meals,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
skin care,oil,,,,,,,,,
chicken,soda,packaged fruit/vegetables,,,,,,,,
tropical fruit,UHT-milk,whole milk,,,,,,,,
other vegetables,pudding powder,,,,,,,,,
canned beer,specialty bar,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
whole milk,canned beer,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
sugar,other vegetables,,,,,,,,,
photo/film,shopping bags,,,,,,,,,
butter,root vegetables,bottled water,whipped/sour cream,red/blush wine,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
rum,yogurt,,,,,,,,,
pork,soda,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,bottled beer,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
newspapers,pastry,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
chicken,yogurt,,,,,,,,,
tropical fruit,newspapers,bottled water,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
rolls/buns,bathroom cleaner,,,,,,,,,
chicken,whole milk,vinegar,shopping bags,,,,,,,
soda,zwieback,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
light bulbs,whole milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
newspapers,processed cheese,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
yogurt,soda,,,,,,,,,
citrus fruit,citrus fruit,whole milk,newspapers,detergent,yogurt,salty snack,,,,
herbs,rum,,,,,,,,,
pet care,mustard,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
yogurt,popcorn,,,,,,,,,
chicken,butter milk,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
napkins,brown bread,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
yogurt,bottled water,,,,,,,,,
chocolate,cat food,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
margarine,margarine,,,,,,,,,
sausage,chicken,,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
soda,roll products ,,,,,,,,,
bottled beer,instant coffee,,,,,,,,,
canned beer,sliced cheese,margarine,,,,,,,,
dessert,brown bread,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
newspapers,soda,,,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
soft cheese,coffee,,,,,,,,,
sausage,pastry,,,,,,,,,
other vegetables,snack products,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
rolls/buns,soups,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,root vegetables,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
beef,liquor,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
cat food,whipped/sour cream,,,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,canned beer,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
soda,tropical fruit,,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
rolls/buns,sauces,,,,,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
cat food,napkins,fruit/vegetable juice,,,,,,,,
tropical fruit,condensed milk,citrus fruit,whipped/sour cream,,,,,,,
sausage,pasta,,,,,,,,,
yogurt,detergent,,,,,,,,,
chicken,whole milk,,,,,,,,,
chewing gum,cream cheese ,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
root vegetables,root vegetables,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
misc. beverages,soda,,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
tea,beverages,,,,,,,,,
ketchup,specialty chocolate,,,,,,,,,
whole milk,butter milk,beverages,,,,,,,,
pork,other vegetables,,,,,,,,,
beef,rolls/buns,,,,,,,,,
cat food,yogurt,bottled beer,pastry,,,,,,,
citrus fruit,pip fruit,ketchup,roll products ,seasonal products,hard cheese,dog food,,,,
soda,soda,,,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
whole milk,frozen fish,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
citrus fruit,butter,,,,,,,,,
liquor,brown bread,whole milk,,,,,,,,
condensed milk,cat food,,,,,,,,,
coffee,root vegetables,,,,,,,,,
coffee,brown bread,,,,,,,,,
other vegetables,yogurt,specialty bar,,,,,,,,
citrus fruit,soda,white bread,,,,,,,,
canned beer,white wine,chocolate,,,,,,,,
yogurt,shopping bags,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
beef,frozen dessert,,,,,,,,,
ham,berries,,,,,,,,,
tropical fruit,butter,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
curd,chocolate marshmallow,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
sausage,pork,butter milk,canned beer,whole milk,yogurt,rolls/buns,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
seasonal products,butter,ice cream,,,,,,,,
margarine,soda,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
whole milk,pastry,,,,,,,,,
whole milk,beef,,,,,,,,,
meat spreads,butter,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
root vegetables,Instant food products,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
soda,rice,,,,,,,,,
UHT-milk,soda,,,,,,,,,
beef,soap,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
whole milk,male cosmetics,,,,,,,,,
bottled water,canned beer,,,,,,,,,
canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
pastry,other vegetables,,,,,,,,,
brown bread,waffles,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
grapes,herbs,,,,,,,,,
meat,other vegetables,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
pastry,waffles,napkins,,,,,,,,
spread cheese,yogurt,frozen vegetables,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
yogurt,oil,,,,,,,,,
salty snack,white bread,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
chocolate,dessert,,,,,,,,,
butter,frozen meals,,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
yogurt,cookware,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
processed cheese,salty snack,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
chocolate,hard cheese,,,,,,,,,
misc. beverages,oil,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
specialty bar,whole milk,,,,,,,,,
ham,whole milk,,,,,,,,,
liver loaf,rolls/buns,rolls/buns,other vegetables,rolls/buns,packaged fruit/vegetables,flower (seeds),shopping bags,,,
bottled water,newspapers,,,,,,,,,
beef,soda,,,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
pastry,meat spreads,,,,,,,,,
coffee,citrus fruit,,,,,,,,,
meat,whole milk,ready soups,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
sausage,cream cheese ,,,,,,,,,
soda,shopping bags,,,,,,,,,
ice cream,hamburger meat,,,,,,,,,
soda,dog food,,,,,,,,,
pastry,shopping bags,,,,,,,,,
tropical fruit,soda,,,,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
ready soups,shopping bags,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
brown bread,canned beer,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
cleaner,chewing gum,,,,,,,,,
sausage,whole milk,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
onions,yogurt,white bread,,,,,,,,
pet care,photo/film,,,,,,,,,
pet care,bottled water,soda,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
bottled water,whole milk,,,,,,,,,
berries,grapes,other vegetables,,,,,,,,
yogurt,whole milk,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
oil,whole milk,,,,,,,,,
seasonal products,white wine,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
soda,whole milk,,,,,,,,,
chocolate,tea,,,,,,,,,
semi-finished bread,flour,,,,,,,,,
soda,chocolate,,,,,,,,,
brown bread,skin care,whipped/sour cream,,,,,,,,
root vegetables,canned beer,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
pork,condensed milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
coffee,napkins,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
beef,berries,root vegetables,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
domestic eggs,citrus fruit,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
citrus fruit,ham,canned beer,frozen vegetables,tropical fruit,other vegetables,yogurt,whole milk,onions,,
rolls/buns,candy,onions,,,,,,,,
frankfurter,soda,,,,,,,,,
pork,root vegetables,,,,,,,,,
bottled beer,dishes,,,,,,,,,
tropical fruit,bottled water,kitchen towels,processed cheese,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
UHT-milk,specialty vegetables,,,,,,,,,
berries,pip fruit,,,,,,,,,
cake bar,pastry,butter,,,,,,,,
cat food,white bread,,,,,,,,,
pork,soda,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
meat,beverages,,,,,,,,,
pip fruit,butter,,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
pastry,other vegetables,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
pastry,specialty bar,flour,,,,,,,,
popcorn,pork,margarine,beef,butter,,,,,,
curd,brown bread,whole milk,chewing gum,,,,,,,
bottled beer,newspapers,,,,,,,,,
sausage,dessert,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
soda,liquor,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
sausage,butter,,,,,,,,,
cat food,male cosmetics,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
root vegetables,whole milk,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
root vegetables,white bread,,,,,,,,,
waffles,sugar,,,,,,,,,
other vegetables,soda,whole milk,sweet spreads,,,,,,,
whole milk,soda,,,,,,,,,
